full_name,name,url,description,language,stars,forks,watchers,open_issues,created_at,last_commit_at,days_active,days_since_commit,stars_per_month,is_abandoned,activity_level,project_maturity,popularity_score,data_collected_at
golang/go,go,https://github.com/golang/go,The Go programming language,Go,135600,19244,135600,10205,2014-08-19T04:33:40Z,2026-08-05T00:03:28Z,4368,-1,924.97,False,Very Active,Mature,100693.2,2026-08-04 20:39:21.795662
swiftlang/swift,swift,https://github.com/swiftlang/swift,The Swift Programming Language,Swift,70217,10786,70217,9163,2015-10-23T21:15:07Z,2026-08-05T00:26:08Z,3938,-1,530.87,False,Very Active,Mature,52387.7,2026-08-04 20:39:21.795662
dotnet/runtime,runtime,https://github.com/dotnet/runtime,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",C#,18143,5531,18143,7647,2019-09-24T23:36:39Z,2026-08-05T00:04:26Z,2506,-1,214.63,False,Very Active,Mature,14359.4,2026-08-04 20:39:21.795662
openjdk/jdk,jdk,https://github.com/openjdk/jdk,JDK main-line development https://openjdk.org/projects/jdk,Java,23183,6396,23183,416,2018-09-17T12:29:20Z,2026-08-04T22:22:25Z,2878,0,239.16,False,Very Active,Mature,18146.9,2026-08-04 20:39:21.795662
vim/vim,vim,https://github.com/vim/vim,The official Vim repository,Vim Script,40703,6105,40703,1617,2015-08-18T21:03:56Z,2026-08-04T21:18:15Z,4004,0,302.7,False,Very Active,Mature,30323.6,2026-08-04 20:39:21.795662
emacs-mirror/emacs,emacs,https://github.com/emacs-mirror/emacs,Mirror of GNU Emacs,Emacs Lisp,5139,1391,5139,16,2014-08-07T06:58:17Z,2026-08-04T18:25:51Z,4380,0,34.96,False,Very Active,Mature,4014.6,2026-08-04 20:39:21.795662
kubernetes/kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,124237,43758,124237,2751,2014-06-06T22:56:04Z,2026-08-04T16:54:32Z,4442,0,833.43,False,Very Active,Mature,100093.3,2026-08-04 20:39:21.795662
moby/moby,moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,71977,19155,71977,3865,2013-01-18T18:10:57Z,2026-08-04T20:39:21Z,4946,0,433.94,False,Very Active,Mature,56130.4,2026-08-04 20:39:21.795662
opencontainers/image-spec,image-spec,https://github.com/opencontainers/image-spec,OCI Image Format,Go,4430,875,4430,73,2016-03-22T19:34:41Z,2026-07-09T17:22:16Z,3787,26,34.82,False,Very Active,Mature,3363.5,2026-08-04 20:39:21.795662
containerd/containerd,containerd,https://github.com/containerd/containerd,An open and reliable container runtime,Go,21064,4043,21064,537,2015-11-13T00:27:43Z,2026-08-03T19:59:50Z,3917,1,160.1,False,Very Active,Mature,15957.7,2026-08-04 20:39:21.795662
